Step	State	Value
524	4	0.0274
525	4	0.0046
526	4	0.0808
527	4	0.0067
528	8	0.0190
529	8	0.2282
530	8	0.0189
531	1	0.0673
532	1	0.0359
533	1	0.0269
534	2	0.0097
535	2	0.0840
536	5	0.0569
537	5	0.0499
538	5	0.2476
539	5	0.0068
540	4	0.2516
541	3	0.0880
542	3	0.0317
543	3	0.0568
544	3	0.0842
545	3	0.0012
546	3	0.0467
547	3	0.2619
548	3	0.0096
549	3	0.0515
550	3	0.1774
551	8	0.0044
552	8	0.0771
553	8	0.1267
554	8	0.1726
555	8	0.0917
556	8	0.2204
557	5	0.0225
558	5	0.1738
559	5	0.0916
560	5	0.3054
561	5	0.0127
562	5	0.0110
563	1	0.4450
564	1	0.0225
565	1	0.0477
566	0	0.0431
567	0	0.0333
568	5	0.1910
569	9	0.0397
570	9	0.1495
571	9	0.0517
572	9	0.0101
573	9	0.1694
574	9	0.0260
575	9	0.0359
576	4	0.0012
577	4	0.0697
578	3	0.0619
579	3	0.0373
580	3	0.2068
581	3	0.1159
582	3	0.0107
583	8	0.0101
584	9	0.3125
585	9	0.0964
586	9	0.0418
587	0	0.0488
588	0	0.0958
589	0	0.0431
590	4	0.0930
591	4	0.0014
592	4	0.0062
593	4	0.1316
594	4	0.5415
595	1	0.0192
596	5	0.1282
597	6	0.0086
598	6	0.1707
599	5	0.1474
600	5	0.0915
601	5	0.0689
602	7	0.0505
603	7	0.0459
604	0	0.0072
605	1	0.1864
606	1	0.0444
607	5	0.0335
608	5	0.0462
609	0	0.2697
610	0	0.0044
611	0	0.0260
612	2	0.3159
613	2	0.0875
614	3	0.0668
615	3	0.0783
616	2	0.1304
617	1	0.0008
618	1	0.2402
619	1	0.0129
620	9	0.0087
621	9	0.1049
622	9	0.1712
623	9	0.1926
624	5	0.2751
625	5	0.0792
626	9	0.2173
627	9	0.1352
628	9	0.0079
629	9	0.0949
630	9	0.1089
631	3	0.1018
632	3	0.0197
633	3	0.0698
634	2	0.0014
635	2	0.0061
636	2	0.0874
637	2	0.0771
638	2	0.1004
639	2	0.0864
640	2	0.0180
641	2	0.0783
642	1	0.2175
643	1	0.2182
644	8	0.0900
645	8	0.0732
646	8	0.1028
647	4	0.1003
648	4	0.1579
649	4	0.2307
650	4	0.1377
651	8	0.2322
652	8	0.1089
653	8	0.1265
654	8	0.1706
655	8	0.1914
656	9	0.0520
657	9	0.0023
658	8	0.1096
659	8	0.0280
660	8	0.0514
661	8	0.0693
662	1	0.2367
663	1	0.1915
664	1	0.0290
665	2	0.0693
666	9	0.1226
667	9	0.0379
668	9	0.1766
669	0	0.1054
670	0	0.0377
671	0	0.0969
672	1	0.2158
673	1	0.5405
674	1	0.0796
675	1	0.1584
676	8	0.4873
677	8	0.3781
678	8	0.0532
679	8	0.0897
680	8	0.0857
681	2	0.1061
682	2	0.0654
683	8	0.1012
684	8	0.4232
685	8	0.2829
686	8	0.1498
687	8	0.0006
688	8	0.0216
689	0	0.0219
690	1	0.0275
691	9	0.1145
692	6	0.0318
693	6	0.0134
694	6	0.0658
695	6	0.0414
696	1	0.1598
697	9	0.0390
698	7	0.2925
699	8	0.0852
700	8	0.0262
701	8	0.0256
702	9	0.0063
703	6	0.1069
704	6	0.0266
705	6	0.4464
706	6	0.1795
707	6	0.1212
708	3	0.0387
709	4	0.1521
710	4	0.0772
711	3	0.1871
712	3	0.0102
713	3	0.0914
714	1	0.0119
715	1	0.3496
716	1	0.1122
717	1	0.0417
718	1	0.0554
719	9	0.4082
720	9	0.1823
721	9	0.0129
722	9	0.1020
723	9	0.1459
724	9	0.1032
725	9	0.1389
726	4	0.1069
727	4	0.0696
728	4	0.1400
729	3	0.1565
730	5	0.0296
731	5	0.0224
732	7	0.2960
733	7	0.1070
734	7	0.0753
735	7	0.0019
736	7	0.0939
737	4	0.0023
738	4	0.3133
739	4	0.0213
740	4	0.0398
741	7	0.1464
742	9	0.0750
743	7	0.1301
744	7	0.0438
745	7	0.0142
746	7	0.0310
747	7	0.0757
748	6	0.2022
749	5	0.0871
750	5	0.1691
751	5	0.1392
752	5	0.1336
753	5	0.1073
754	5	0.0819
755	5	0.0332
756	6	0.1524
757	1	0.1953
758	1	0.0367
759	1	0.0858
760	1	0.0091
761	1	0.0303
762	1	0.0031
763	2	0.0830
764	6	0.3290
765	4	0.0335
766	4	0.1325
767	0	0.0210
768	0	0.1616
769	4	0.0162
770	4	0.1163
771	4	0.0264
772	4	0.0643
773	2	0.1446
774	3	0.1094
775	3	0.0565
776	3	0.0033
777	3	0.0101
778	2	0.0641
779	2	0.3144
780	2	0.1576
781	2	0.0229
782	2	0.0312
783	2	0.3904
784	2	0.0264
785	2	0.0538
786	7	0.0817
787	7	0.0470
788	0	0.1304
789	0	0.1610
790	0	0.0627
791	0	0.0140
792	0	0.2418
793	0	0.0819
794	0	0.2133
795	0	0.1663
796	0	0.1387
797	0	0.0206
798	0	0.0512
799	0	0.0075
800	0	0.0346
801	0	0.0781
802	4	0.0133
803	6	0.2026
804	6	0.0040
805	6	0.0265
806	6	0.2173
807	6	0.4873
808	6	0.0888
809	6	0.0185
810	6	0.0057
811	9	0.0138
812	9	0.3970
813	9	0.1681
814	9	0.0651
815	9	0.0002
816	9	0.0457
817	9	0.0940
818	9	0.0600
819	9	0.0410
820	9	0.0140
821	9	0.4218
822	0	0.2575
823	9	0.1640
824	9	0.0748
825	9	0.3407
826	9	0.2866
827	2	0.0478
828	7	0.0525
829	6	0.0358
830	6	0.0069
831	6	0.1037
832	6	0.1845
833	6	0.2489
834	6	0.1266
835	6	0.1488
836	6	0.1675
837	6	0.1943
838	6	0.1328
839	6	0.0270
840	6	0.0988
841	6	0.1785
842	6	0.0349
843	6	0.0671
844	6	0.0500
845	6	0.0862
846	6	0.0085
847	6	0.2178
848	7	0.0620
849	7	0.0229
850	5	0.0045
851	9	0.0012
852	9	0.1311
853	9	0.0882
854	9	0.0742
855	9	0.1245
856	3	0.0013
857	3	0.1236
858	3	0.1362
859	3	0.7231
860	3	0.3534
861	3	0.0887
862	1	0.1557
863	1	0.3470
864	1	0.0310
865	1	0.0539
866	1	0.0154
867	1	0.0175
868	5	0.0345
869	5	0.0394
870	5	0.0818
871	0	0.3010
872	0	0.0842
873	0	0.2074
874	0	0.1867
875	5	0.0572
876	5	0.0591
877	0	0.1994
878	0	0.0663
879	4	0.0640
880	4	0.5816
881	5	0.0051
882	4	0.0367
883	4	0.0004
884	4	0.2972
885	4	0.0518
886	4	0.0445
887	4	0.0070
888	7	0.0001
889	8	0.0254
890	8	0.1667
891	8	0.1073
892	8	0.1112
893	8	0.0652
894	4	0.0422
895	8	0.2225
896	8	0.1751
897	8	0.0653
898	4	0.0159
899	4	0.1285
900	3	0.1661
901	3	0.0909
902	3	0.0637
903	3	0.0084
904	3	0.0917
905	3	0.0376
906	3	0.3110
907	8	0.1064
908	8	0.0655
909	4	0.1469
910	4	0.0069
911	4	0.0168
912	6	0.0908
913	6	0.0014
914	6	0.0114
915	6	0.1788
916	7	0.1926
917	7	0.0076
918	7	0.0083
919	5	0.1555
920	5	0.0611
921	3	0.0079
922	3	0.0059
923	3	0.0026
924	3	0.1912
925	4	0.0434
926	7	0.0595
927	7	0.1643
928	1	0.0138
929	3	0.1498
930	3	0.0805
931	3	0.0159
932	3	0.0021
933	3	0.1272
934	3	0.0467
935	3	0.1499
936	4	0.0911
937	5	0.0262
938	5	0.0858
939	5	0.0203
940	5	0.0045
941	5	0.0411
942	5	0.0030
943	4	0.0750
944	4	0.3059
945	4	0.0501
946	4	0.2278
947	4	0.2306
948	7	0.1416
949	7	0.0013
950	4	0.0118
951	4	0.2903
952	4	0.1013
953	4	0.0440
954	4	0.0558
955	4	0.0986
956	4	0.0065
957	8	0.3117
958	3	0.0096
959	3	0.0289
960	1	0.1492
961	1	0.0787
962	1	0.0193
963	1	0.0877
964	7	0.0050
965	7	0.0049
966	5	0.0479
967	9	0.2005
968	0	0.0177
969	0	0.0240
970	0	0.1392
971	4	0.0052
972	4	0.1567
973	0	0.2342
974	5	0.0663
975	4	0.2531
976	4	0.1569
977	4	0.2491
978	8	0.2278
979	8	0.2204
980	9	0.0090
981	9	0.0108
982	9	0.2604
983	9	0.0642
984	1	0.0197
985	1	0.1115
986	7	0.0727
987	7	0.1335
988	7	0.1293
989	7	0.0195
990	6	0.1541
991	3	0.0607
992	3	0.0809
993	3	0.0763
994	3	0.1975
995	3	0.0496
996	8	0.0434
997	8	0.0523
998	8	0.0608
999	8	0.0444
1000	8	0.0814
1001	0	0.0810
1002	0	0.1360
1003	0	0.0455
1004	0	0.2488
1005	0	0.1092
1006	0	0.1005
1007	0	0.0310
1008	0	0.0651
1009	3	0.0987
1010	3	0.0234
1011	0	0.0323
1012	0	0.0696
1013	0	0.1769
1014	8	0.0806
1015	5	0.0867
1016	3	0.0228
1017	3	0.0180
1018	7	0.0528
1019	7	0.0516
1020	7	0.0063
1021	1	0.0015
1022	1	0.0186
1023	1	0.2048
1024	1	0.0073
1025	1	0.3618
1026	1	0.0699
1027	1	0.1796
1028	9	0.2567
1029	9	0.2887
1030	9	0.1826
1031	9	0.0852
1032	0	0.1038
1033	1	0.3783
1034	1	0.0299
1035	1	0.0463
1036	1	0.0575
1037	1	0.0005
1038	1	0.1093
1039	5	0.0279
1040	5	0.0455
1041	5	0.0005
1042	6	0.0619
1043	6	0.1950
1044	6	0.0681
1045	6	0.1895
1046	6	0.0379
1047	6	0.0453
1048	8	0.0159
1049	8	0.7487
1050	8	0.1258
1051	8	0.1275
1052	4	0.1396
1053	4	0.1378
1054	4	0.0909
1055	9	0.0148
1056	9	0.0221
1057	3	0.1698
1058	3	0.3714
1059	3	0.0030
1060	3	0.0629
1061	5	0.1570
1062	5	0.0346
1063	4	0.1315
1064	4	0.0670
1065	4	0.1818
1066	4	0.0098
1067	4	0.0418
1068	5	0.0318
1069	2	0.0286
1070	5	0.0067
1071	5	0.1706
1072	5	0.0748
1073	5	0.2460
1074	5	0.0351
1075	8	0.3249
1076	8	0.1718
1077	8	0.0762
1078	3	0.2278
1079	3	0.0784
1080	3	0.4011
1081	3	0.0861
1082	2	0.2570
1083	6	0.2465
1084	6	0.4668
1085	5	0.0052
1086	1	0.0786
1087	5	0.0381
1088	2	0.0685
1089	2	0.0826
1090	3	0.0183
1091	3	0.0783
1092	9	0.0310
1093	1	0.0092
1094	1	0.0393
1095	1	0.0777
1096	1	0.5801
1097	1	0.0476
1098	7	0.0017
1099	7	0.0115
1100	0	0.0596
1101	0	0.0063
1102	9	0.0022
1103	9	0.0047
1104	9	0.0923
1105	9	0.0356
1106	9	0.0128
1107	9	0.1384
1108	9	0.2338
1109	9	0.0785
1110	6	0.0617
1111	2	0.0752
1112	2	0.0202
1113	6	0.0469
1114	6	0.0207
1115	6	0.0231
1116	6	0.1020
1117	6	0.0963
1118	6	0.1028
1119	6	0.0187
1120	6	0.0305
1121	6	0.6024
1122	6	0.0360
1123	6	0.1445
1124	6	0.0863
1125	6	0.0553
1126	0	0.0471
1127	8	0.0666
1128	8	0.1869
1129	8	0.1403
1130	0	0.0404
1131	8	0.1080
1132	9	0.0248
1133	7	0.0977
1134	7	0.2641
1135	7	0.0093
1136	6	0.0293
1137	2	0.0842
1138	2	0.1780
1139	2	0.1400
1140	2	0.0985
1141	2	0.0568
1142	9	0.0120
1143	9	0.0799
1144	9	0.1455
1145	8	0.3947
1146	3	0.0288
1147	3	0.0055
1148	3	0.2364
1149	3	0.0387
1150	4	0.0620
1151	4	0.0015
1152	4	0.0683
1153	4	0.0303
1154	4	0.2354
1155	0	0.1280
1156	0	0.0195
1157	0	0.0737
1158	0	0.0058
1159	0	0.0279
1160	3	0.0446
1161	3	0.2415
1162	3	0.1958
1163	8	0.0070
1164	8	0.1011
1165	8	0.0896
1166	2	0.1577
1167	2	0.1617
1168	2	0.0201
1169	1	0.0918
1170	1	0.0065
1171	1	0.0941
1172	1	0.0621
1173	1	0.0754
1174	1	0.0204
1175	2	0.0408
1176	2	0.4280
1177	2	0.0154
1178	4	0.0225
1179	4	0.0924
1180	5	0.0909
1181	5	0.2537
1182	5	0.1561
1183	5	0.1091
1184	8	0.1492
1185	8	0.0048
1186	8	0.0849
1187	8	0.0073
1188	0	0.1496
1189	0	0.0785
1190	8	0.0451
1191	8	0.0686
1192	8	0.0117
1193	8	0.0207
1194	8	0.1863
1195	8	0.0150
1196	8	0.3451
1197	1	0.1700
1198	2	0.1492
1199	2	0.1280
1200	2	0.1314
1201	3	0.0473
1202	3	0.0541
1203	3	0.0388
1204	3	0.0037
1205	5	0.0151
1206	5	0.1315
1207	5	0.1361
1208	5	0.0309
1209	7	0.0157
1210	3	0.1239
1211	3	0.0778
1212	3	0.0415
1213	3	0.0559
1214	3	0.1739
1215	3	0.1056
1216	3	0.2375
1217	0	0.1853
1218	0	0.0628
1219	0	0.0707
1220	0	0.0014
1221	0	0.2254
1222	1	0.0319
1223	1	0.0868
1224	1	0.0817
1225	1	0.1022
1226	1	0.6872
1227	1	0.2699
1228	1	0.0742
1229	1	0.0590
1230	1	0.0693
1231	1	0.2191
1232	1	0.0115
1233	1	0.1277
1234	1	0.2156
1235	1	0.0069
1236	6	0.1979
1237	8	0.1019
1238	4	0.0899
1239	4	0.1092
1240	4	0.2659
1241	4	0.0517
1242	7	0.0634
1243	7	0.0307
1244	9	0.1166
1245	9	0.0394
1246	4	0.1582
1247	4	0.0872
1248	6	0.2705
1249	6	0.0635
1250	6	0.0725
1251	6	0.1238
1252	6	0.0680
1253	6	0.0695
1254	2	0.0805
1255	2	0.0248
1256	2	0.0605
1257	2	0.0520
1258	7	0.2944
1259	7	0.2314
1260	7	0.0459
1261	7	0.1665
1262	5	0.0564
1263	5	0.0053
1264	5	0.1142
1265	5	0.0187
1266	5	0.0049
1267	6	0.0820
1268	6	0.0242
1269	1	0.0961
1270	2	0.0233
1271	4	0.0272
1272	4	0.0598
1273	4	0.0854
1274	4	0.0359
1275	4	0.0019
1276	4	0.1178
1277	5	0.1717
1278	3	0.0236
1279	5	0.0646
1280	6	0.0490
1281	6	0.0073
1282	6	0.0728
1283	6	0.3449
1284	6	0.1139
1285	6	0.0672
1286	7	0.0532
1287	7	0.0777
1288	7	0.0445
1289	3	0.0283
1290	3	0.0859
1291	3	0.0385
1292	3	0.0092
1293	3	0.0472
1294	3	0.6546
1295	4	0.0199
1296	4	0.0667
1297	4	0.1695
1298	9	0.2085
1299	9	0.1286
1300	9	0.0449
1301	5	0.0564
1302	5	0.2587
1303	8	0.0979
1304	8	0.0069
1305	8	0.2706
1306	8	0.0135
1307	8	0.2290
1308	7	0.0481
1309	7	0.0715
1310	7	0.0118
1311	7	0.1438
1312	7	0.2717
1313	7	0.0894
1314	7	0.0434
1315	7	0.0437
1316	7	0.0717
1317	7	0.0647
1318	7	0.1359
1319	3	0.1241
1320	4	0.3098
1321	4	0.0590
1322	2	0.2172
1323	2	0.0345
1324	2	0.0939
1325	3	0.1027
1326	3	0.0659
1327	3	0.0369
1328	3	0.3370
1329	6	0.0242
1330	6	0.0220
1331	6	0.0018
1332	6	0.0420
1333	6	0.0142
1334	2	0.0880
1335	4	0.2158
1336	4	0.0649
1337	4	0.0955
1338	4	0.1090
1339	6	0.0969
1340	6	0.1198
1341	6	0.3779
1342	5	0.1053
1343	5	0.0881
1344	5	0.0191
1345	5	0.2588
1346	5	0.0445
1347	8	0.0072
1348	8	0.0569
1349	6	0.1496
1350	0	0.0036
1351	0	0.0792
1352	0	0.3698
1353	0	0.2008
1354	0	0.0053
1355	0	0.2282
1356	1	0.1323
1357	5	0.2495
1358	5	0.0167
1359	5	0.4212
1360	5	0.0344
1361	6	0.1190
1362	6	0.1899
1363	6	0.0417
1364	6	0.3207
1365	3	0.0340
1366	9	0.1449
1367	9	0.0702
1368	9	0.3927
1369	9	0.0463
1370	0	0.1849
1371	0	0.1506
1372	0	0.0143
1373	0	0.2880
1374	0	0.0205
1375	7	0.0947
1376	7	0.1810
1377	7	0.0122
1378	7	0.0059
1379	7	0.3125
1380	0	0.0832
1381	0	0.0006
1382	0	0.0070
1383	0	0.0057
1384	0	0.2047
1385	0	0.0079
1386	1	0.1163
1387	4	0.0323
1388	4	0.0780
1389	4	0.0104
1390	4	0.0153
1391	4	0.0214
1392	9	0.0001
1393	9	0.1066
1394	0	0.1427
1395	0	0.0075
1396	0	0.1881
1397	0	0.1021
1398	6	0.0888
1399	6	0.3149
1400	6	0.0118
1401	1	0.0172
1402	3	0.2143
1403	3	0.0944
1404	3	0.1043
1405	3	0.0147
1406	3	0.0529
1407	3	0.1424
1408	3	0.1007
1409	3	0.0635
1410	3	0.0009
1411	3	0.1217
1412	5	0.0966
1413	5	0.1456
1414	5	0.0023
1415	5	0.1060
1416	4	0.1396
1417	4	0.2613
1418	4	0.0268
1419	4	0.0044
1420	5	0.0268
1421	5	0.1086
1422	5	0.0709
1423	5	0.0048
1424	4	0.1717
1425	4	0.0737
1426	5	0.0050
1427	5	0.1147
1428	5	0.0807
1429	5	0.1997
1430	5	0.0172
1431	5	0.1231
1432	6	0.0380
1433	6	0.0766
1434	6	0.0172
1435	6	0.0553
1436	6	0.1405
1437	2	0.0028
1438	2	0.0681
1439	2	0.0492
1440	2	0.0894
1441	6	0.0141
1442	6	0.0125
1443	6	0.0358
1444	6	0.0286
1445	5	0.0272
1446	5	0.1113
1447	7	0.0370
1448	9	0.0844
1449	9	0.0753
1450	9	0.0531
1451	9	0.0118
1452	4	0.0022
1453	4	0.0535
1454	4	0.0240
1455	4	0.1711
1456	4	0.1206
1457	8	0.0572
1458	8	0.1412
1459	8	0.0656
1460	9	0.2201
1461	9	0.0516
1462	9	0.1064
1463	9	0.0767
1464	6	0.0787
1465	1	0.2779
1466	8	0.6447
1467	1	0.0112
1468	0	0.0203
1469	0	0.0765
1470	0	0.0374
1471	0	0.0213
1472	0	0.0346
1473	0	0.1713
1474	0	0.0435
1475	0	0.0039
1476	0	0.0003
1477	0	0.1567
1478	0	0.0153
1479	0	0.2042
1480	0	0.0471
1481	3	0.1000
1482	3	0.1902
1483	3	0.0500
1484	0	0.0286
1485	7	0.0555
1486	7	0.0310
1487	7	0.0827
1488	7	0.0267
1489	7	0.0912
1490	7	0.1106
1491	7	0.1710
1492	7	0.0070
1493	7	0.0389
1494	6	0.2542
1495	6	0.2213
1496	6	0.4403
1497	6	0.1094
